2025-05-27 21:35:14,462 - INFO - Episode 101 | Avg Reward: -0.1126 | Avg Q total: -0.7738 | Avg Loss: 0.8955 | Avg Entropy: 0.4566
2025-05-27 21:35:15,393 - INFO - Episode 102 | Avg Reward: -0.1605 | Avg Q total: -0.7136 | Avg Loss: 1.1805 | Avg Entropy: 0.4475
2025-05-27 21:35:16,292 - INFO - Episode 103 | Avg Reward: -0.1365 | Avg Q total: -0.5823 | Avg Loss: 1.0333 | Avg Entropy: 0.4386
2025-05-27 21:35:17,239 - INFO - Episode 104 | Avg Reward: -0.0739 | Avg Q total: -0.3259 | Avg Loss: 0.6860 | Avg Entropy: 0.4299
2025-05-27 21:35:18,061 - INFO - Episode 105 | Avg Reward: -0.0972 | Avg Q total: -0.1494 | Avg Loss: 0.7226 | Avg Entropy: 0.4213
2025-05-27 21:35:18,931 - INFO - Episode 106 | Avg Reward: -0.0591 | Avg Q total: 0.0236 | Avg Loss: 0.7325 | Avg Entropy: 0.4129
2025-05-27 21:35:19,768 - INFO - Episode 107 | Avg Reward: -0.1193 | Avg Q total: 0.1715 | Avg Loss: 0.8005 | Avg Entropy: 0.4047
2025-05-27 21:35:20,589 - INFO - Episode 108 | Avg Reward: -0.1006 | Avg Q total: 0.4747 | Avg Loss: 0.9221 | Avg Entropy: 0.3967
2025-05-27 21:35:21,503 - INFO - Episode 109 | Avg Reward: -0.1105 | Avg Q total: 0.6972 | Avg Loss: 0.8148 | Avg Entropy: 0.3888
2025-05-27 21:35:22,467 - INFO - Episode 110 | Avg Reward: -0.1189 | Avg Q total: 0.8982 | Avg Loss: 1.0238 | Avg Entropy: 0.3810
2025-05-27 21:35:23,331 - INFO - Episode 111 | Avg Reward: -0.2408 | Avg Q total: 0.9722 | Avg Loss: 1.4935 | Avg Entropy: 0.3735
2025-05-27 21:35:24,150 - INFO - Episode 112 | Avg Reward: -0.1579 | Avg Q total: 1.3037 | Avg Loss: 0.9394 | Avg Entropy: 0.3660
2025-05-27 21:35:25,018 - INFO - Episode 113 | Avg Reward: -0.1023 | Avg Q total: 1.6136 | Avg Loss: 0.8981 | Avg Entropy: 0.3587
2025-05-27 21:35:25,913 - INFO - Episode 114 | Avg Reward: -0.1595 | Avg Q total: 1.7273 | Avg Loss: 0.9431 | Avg Entropy: 0.3516
2025-05-27 21:35:26,729 - INFO - Episode 115 | Avg Reward: -0.1366 | Avg Q total: 1.9710 | Avg Loss: 1.1897 | Avg Entropy: 0.3446
2025-05-27 21:35:27,576 - INFO - Episode 116 | Avg Reward: -0.1638 | Avg Q total: 2.0905 | Avg Loss: 1.0619 | Avg Entropy: 0.3378
2025-05-27 21:35:28,442 - INFO - Episode 117 | Avg Reward: -0.0639 | Avg Q total: 2.4008 | Avg Loss: 0.6611 | Avg Entropy: 0.3310
2025-05-27 21:35:29,259 - INFO - Episode 118 | Avg Reward: -0.1232 | Avg Q total: 2.5039 | Avg Loss: 0.8120 | Avg Entropy: 0.3244
2025-05-27 21:35:30,081 - INFO - Episode 119 | Avg Reward: -0.1152 | Avg Q total: 2.6170 | Avg Loss: 0.7953 | Avg Entropy: 0.3180
2025-05-27 21:35:30,912 - INFO - Episode 120 | Avg Reward: -0.1166 | Avg Q total: 2.7068 | Avg Loss: 1.0180 | Avg Entropy: 0.3117
2025-05-27 21:35:31,734 - INFO - Episode 121 | Avg Reward: -0.1258 | Avg Q total: 2.7993 | Avg Loss: 0.7917 | Avg Entropy: 0.3055
2025-05-27 21:35:32,586 - INFO - Episode 122 | Avg Reward: -0.1108 | Avg Q total: 2.8223 | Avg Loss: 0.8945 | Avg Entropy: 0.2994
2025-05-27 21:35:33,416 - INFO - Episode 123 | Avg Reward: -0.1285 | Avg Q total: 2.8439 | Avg Loss: 0.7813 | Avg Entropy: 0.2934
2025-05-27 21:35:34,249 - INFO - Episode 124 | Avg Reward: -0.1275 | Avg Q total: 2.8646 | Avg Loss: 0.9122 | Avg Entropy: 0.2876
2025-05-27 21:35:35,129 - INFO - Episode 125 | Avg Reward: -0.0802 | Avg Q total: 2.8773 | Avg Loss: 0.5772 | Avg Entropy: 0.2819
2025-05-27 21:35:35,960 - INFO - Episode 126 | Avg Reward: -0.0872 | Avg Q total: 2.8423 | Avg Loss: 0.4463 | Avg Entropy: 0.2763
2025-05-27 21:35:36,798 - INFO - Episode 127 | Avg Reward: -0.1035 | Avg Q total: 2.7532 | Avg Loss: 0.6339 | Avg Entropy: 0.2708
2025-05-27 21:35:37,703 - INFO - Episode 128 | Avg Reward: -0.1182 | Avg Q total: 2.7367 | Avg Loss: 0.6021 | Avg Entropy: 0.2654
2025-05-27 21:35:38,577 - INFO - Episode 129 | Avg Reward: -0.1353 | Avg Q total: 2.6287 | Avg Loss: 0.7694 | Avg Entropy: 0.2601
2025-05-27 21:35:39,429 - INFO - Episode 130 | Avg Reward: -0.1386 | Avg Q total: 2.5466 | Avg Loss: 0.7140 | Avg Entropy: 0.2549
