episode,avg_reward,avg_q_total,avg_loss,agent_0_q_indiv,agent_0_loss,agent_1_q_indiv,agent_1_loss,agent_2_q_indiv,agent_2_loss
63,-0.17153814435005188,-0.7836376428604126,2.0593509674072266,-0.04377128928899765,0.001658377586863935,-0.03082359954714775,0.0010150180896744132,0.031227577477693558,0.004587127827107906
64,-0.16097486019134521,-0.77960205078125,2.2546374797821045,-0.050004828721284866,0.0004657842218875885,-0.057128001004457474,0.0014964237343519926,0.030265161767601967,0.007493878714740276
65,-0.14940989017486572,-0.7924968600273132,1.6152288913726807,-0.05142750218510628,0.0003811708593275398,-0.08016527444124222,0.0030872668139636517,0.02986060455441475,0.009307792410254478
66,-0.1253986805677414,-0.7845618724822998,1.5232945680618286,-0.05336868762969971,0.0006889132782816887,-0.10467970371246338,0.004866621922701597,0.03541688993573189,0.007202341221272945
67,-0.21994955837726593,-0.6775445938110352,2.648864984512329,-0.052214931696653366,0.0013018929166719317,-0.11465611308813095,0.005365084391087294,0.04150616377592087,0.006594828329980373
68,-0.10421011596918106,-0.7126463055610657,1.1431641578674316,-0.045989029109478,0.0026544996071606874,-0.14744479954242706,0.007902095094323158,0.049042776226997375,0.0043325587175786495
69,-0.21581485867500305,-0.6461795568466187,1.811020016670227,-0.048181500285863876,0.003633358282968402,-0.16437102854251862,0.007953915745019913,0.058618150651454926,0.004573805723339319
70,-0.15887543559074402,-0.6277704238891602,1.4688994884490967,-0.03911231830716133,0.005560522899031639,-0.19221775233745575,0.00938732735812664,0.0602542981505394,0.004883090034127235
71,-0.166391983628273,-0.6209231019020081,1.9263405799865723,-0.04572729021310806,0.007193480618298054,-0.21756093204021454,0.010476458817720413,0.05939510464668274,0.006129313260316849
72,-0.17316487431526184,-0.6128321886062622,1.2682781219482422,-0.046696316450834274,0.008613464422523975,-0.2434757649898529,0.013113677501678467,0.06334216892719269,0.00605997908860445
73,-0.16190175712108612,-0.604480504989624,1.4810093641281128,-0.04774557426571846,0.00891570933163166,-0.26343855261802673,0.01328522153198719,0.06959551572799683,0.006415460258722305
74,-0.19685831665992737,-0.6153401136398315,1.725885033607483,-0.06463944911956787,0.009643008932471275,-0.28769993782043457,0.015402330085635185,0.07058016955852509,0.008751015178859234
75,-0.2021765261888504,-0.6227461695671082,2.0514042377471924,-0.07257996499538422,0.00865609385073185,-0.3072246313095093,0.016627714037895203,0.06808806955814362,0.011298829689621925
76,-0.13473424315452576,-0.6003778576850891,1.0851882696151733,-0.06883849203586578,0.007772567216306925,-0.3376822769641876,0.021351110190153122,0.07578480988740921,0.010676051490008831
77,-0.20768387615680695,-0.6507776975631714,1.9047820568084717,-0.09590500593185425,0.007975531741976738,-0.36672189831733704,0.025232264772057533,0.07600679248571396,0.013316686265170574
78,-0.181385800242424,-0.647259533405304,1.3438434600830078,-0.09505800902843475,0.006481931544840336,-0.3786696493625641,0.026822512969374657,0.08258732408285141,0.014639991335570812
79,-0.26246732473373413,-0.7134537696838379,2.436345100402832,-0.11890573799610138,0.0068495930172502995,-0.41881266236305237,0.033463004976511,0.0741589218378067,0.021350447088479996
80,-0.13848251104354858,-0.6828209757804871,1.320064902305603,-0.11542880535125732,0.0061018499545753,-0.4425589144229889,0.03841809555888176,0.07390598952770233,0.02041536197066307
81,-0.14216825366020203,-0.7373229265213013,1.0143550634384155,-0.13346397876739502,0.00631655752658844,-0.4615965485572815,0.04253692552447319,0.069766104221344,0.020113630220294
82,-0.19457603991031647,-0.7903943061828613,1.5049479007720947,-0.15445800125598907,0.006571742706000805,-0.49171358346939087,0.0511556975543499,0.06600911170244217,0.023332027718424797
83,-0.1516837626695633,-0.7399190664291382,1.2103271484375,-0.15261849761009216,0.006555128842592239,-0.49853840470314026,0.05199793726205826,0.06774883717298508,0.021499229595065117
84,-0.1693217158317566,-0.7707558870315552,1.5295330286026,-0.1622477024793625,0.0064460099674761295,-0.5034834742546082,0.05317234992980957,0.07095330953598022,0.01957159861922264
85,-0.23054757714271545,-0.8389948606491089,2.065220594406128,-0.18159635365009308,0.007276806980371475,-0.5339484810829163,0.06162850931286812,0.06855335086584091,0.02093590423464775
86,-0.17580442130565643,-0.7968187928199768,1.619100570678711,-0.17433962225914001,0.007068178616464138,-0.5444719791412354,0.06501127034425735,0.08033795654773712,0.014458863064646721
87,-0.17451539635658264,-0.8067344427108765,1.4997352361679077,-0.18339374661445618,0.007133276667445898,-0.5637542009353638,0.07173874229192734,0.08024349063634872,0.012995454482734203
88,-0.11975164711475372,-0.7806442379951477,1.0603301525115967,-0.18769755959510803,0.006876212544739246,-0.5693950653076172,0.07311106473207474,0.0788700133562088,0.010022075846791267
89,-0.20185008645057678,-0.9279029965400696,1.5636717081069946,-0.21068429946899414,0.008660482242703438,-0.5820938348770142,0.07988561689853668,0.058820247650146484,0.017435837537050247
90,-0.17300821840763092,-0.936259388923645,1.6614997386932373,-0.22343671321868896,0.009410440921783447,-0.6027692556381226,0.08724556118249893,0.06698868423700333,0.012647317722439766
91,-0.19146011769771576,-1.0020724534988403,1.356956958770752,-0.23931166529655457,0.010914483107626438,-0.6117285490036011,0.09116347134113312,0.04818146675825119,0.018136536702513695
92,-0.15104956924915314,-0.9841087460517883,1.436786413192749,-0.23593035340309143,0.01017182320356369,-0.6187416911125183,0.09519043564796448,0.04805716499686241,0.01687966287136078
93,-0.12720097601413727,-1.0119938850402832,1.143568515777588,-0.23698420822620392,0.009789216332137585,-0.6100867390632629,0.09390637278556824,0.045617155730724335,0.013041490688920021
94,-0.24530859291553497,-1.1662213802337646,1.6958938837051392,-0.2568110525608063,0.016640840098261833,-0.6367346048355103,0.11692601442337036,0.030419057235121727,0.023285962641239166
95,-0.15622590482234955,-1.0792303085327148,1.2733691930770874,-0.23812946677207947,0.01282309740781784,-0.608086109161377,0.10233287513256073,0.03590421751141548,0.018793674185872078
96,-0.1933518350124359,-1.1427572965621948,1.4142733812332153,-0.2593045234680176,0.021055102348327637,-0.6122267842292786,0.11052322387695312,0.038901884108781815,0.02155495621263981
97,-0.17618660628795624,-1.1211491823196411,1.4777659177780151,-0.25559890270233154,0.022800132632255554,-0.5961781740188599,0.106253482401371,0.04018976166844368,0.02427438274025917
98,-0.19968052208423615,-1.1270347833633423,1.3561986684799194,-0.24730758368968964,0.02321700006723404,-0.5956871509552002,0.11177530139684677,0.04111017659306526,0.030585220083594322
99,-0.1943371742963791,-1.0555517673492432,1.3399995565414429,-0.23333266377449036,0.024358123540878296,-0.5781930685043335,0.10569305717945099,0.030950987711548805,0.0467495322227478
100,-0.08541445434093475,-0.8642099499702454,0.8671552538871765,-0.21073217689990997,0.024309789761900902,-0.55206298828125,0.09420698881149292,0.08502215147018433,0.020508941262960434
101,-0.11264661699533463,-0.7738100290298462,0.8954764604568481,-0.1901867538690567,0.025521308183670044,-0.5253603458404541,0.08905936777591705,0.09245171397924423,0.03061581216752529
102,-0.16045334935188293,-0.7136338949203491,1.180517554283142,-0.15805082023143768,0.028505820780992508,-0.5365747213363647,0.11107388883829117,0.11850597709417343,0.03384141996502876
103,-0.1364847719669342,-0.5823408961296082,1.0333399772644043,-0.13408035039901733,0.03216072916984558,-0.4892607629299164,0.093941330909729,0.15277627110481262,0.02871846593916416
104,-0.07389233261346817,-0.32590973377227783,0.6859802603721619,-0.08992664515972137,0.024654336273670197,-0.4535747468471527,0.08003759384155273,0.18768200278282166,0.02160700038075447
105,-0.09718465805053711,-0.1493837982416153,0.7226375937461853,-0.0690903514623642,0.028186911717057228,-0.43382948637008667,0.07786978781223297,0.2194710671901703,0.026838883757591248
106,-0.059122443199157715,0.023605842143297195,0.732467770576477,-0.03351063281297684,0.029452607035636902,-0.40848374366760254,0.0744965672492981,0.2646951377391815,0.020626937970519066
107,-0.11926790326833725,0.17145639657974243,0.8004921674728394,-0.0004985075211152434,0.034052927047014236,-0.3972598910331726,0.0845775455236435,0.292427122592926,0.035027019679546356
108,-0.10056301206350327,0.4747437834739685,0.9220864176750183,0.052143312990665436,0.031436365097761154,-0.3589783012866974,0.07631389051675797,0.34893471002578735,0.027294572442770004
109,-0.11048450320959091,0.6971831321716309,0.8148432970046997,0.10424236953258514,0.02862834371626377,-0.3093494772911072,0.06895112246274948,0.39725857973098755,0.0279711727052927
110,-0.11887214332818985,0.8982257843017578,1.0238224267959595,0.12459027767181396,0.03356320783495903,-0.29556429386138916,0.06698743999004364,0.4410368502140045,0.026290278881788254
111,-0.24081404507160187,0.9721555709838867,1.4935352802276611,0.1540883630514145,0.04738200455904007,-0.29999640583992004,0.0899382010102272,0.4706175923347473,0.04866565391421318
112,-0.15788432955741882,1.303694725036621,0.9393615126609802,0.1899110972881317,0.037289418280124664,-0.2740628123283386,0.07536599785089493,0.535608172416687,0.029055321589112282
113,-0.10229091346263885,1.6136283874511719,0.8981278538703918,0.23661068081855774,0.026248419657349586,-0.23358695209026337,0.059420906007289886,0.5888220071792603,0.022219035774469376
114,-0.15948311984539032,1.727262258529663,0.9430742263793945,0.2507449984550476,0.03238146752119064,-0.2391708791255951,0.07373520731925964,0.6283508539199829,0.02802622877061367
115,-0.13661465048789978,1.9709665775299072,1.1897472143173218,0.29902106523513794,0.02397494576871395,-0.2013450562953949,0.06499134004116058,0.6748300194740295,0.025406058877706528
116,-0.16379238665103912,2.0904712677001953,1.0618706941604614,0.3101500868797302,0.032563529908657074,-0.15634575486183167,0.05486949533224106,0.7099515199661255,0.030957918614149094
